観光地,滞在時間目安,住所
高尾山,4‑6 時間,八王子市高尾町
三鷹の森ジブリ美術館,2‑3 時間,三鷹市下連雀1‑1‑83
サンリオピューロランド,3‑5 時間,多摩市落合1‑31
国営昭和記念公園,3‑5 時間,立川市緑町3173 
多摩動物公園,3‑4 時間,日野市程久保7‑1‑1
東京サマーランド,4‑6 時間,あきる野市上代継600
御岳山,4‑6 時間,青梅市御岳山176
奥多摩湖,2‑4 時間,西多摩郡奥多摩町原
井の頭恩賜公園,2‑3 時間,武蔵野市御殿山1‑18‑31
日原鍾乳洞,1‑2 時間,西多摩郡奥多摩町日原1052 
江戸東京たてもの園,2‑3 時間,小金井市桜町3‑7‑1
よみうりランド,4‑5 時間,稲城市矢野口4015‑1
秋川渓谷,3‑5 時間,あきる野市内
御岳渓谷,2‑3 時間,青梅市御岳周辺
八王子城跡,2‑3 時間,八王子市元八王子町
味の素スタジアム,2‑4 時間,調布市西町376‑3 
深大寺,1‑2 時間,調布市深大寺元町5‑15‑1
神代植物公園,2‑3 時間,調布市深大寺元町5‑31‑10 
東京競馬場,3‑5 時間,府中市日吉町1‑1
奥多摩むかし道,4‑5 時間,西多摩郡奥多摩町氷川
羽村取水堰,1‑2 時間,羽村市玉川1丁目先
府中市郷土の森博物館,2‑3 時間,府中市南町6‑32
町田リス園,1‑2 時間,町田市薬師台1‑733‑1
多摩六都科学館,2‑3 時間,西東京市芝久保町5‑10‑64
野川公園,2‑3 時間,調布市野水1
払沢の滝,1‑2 時間,西多摩郡檜原村本宿5545‑2
野山北・六道山公園,2‑3 時間,武蔵村山市三ツ木4‑2
滝山城跡,2‑3 時間,八王子市高月町
モリパーク アウトドアヴィレッジ,1‑2 時間,昭島市田中町610‑4
きらめき広場,0.5–1 時間,多摩市落合2‑35
どんぐり山公園,0.5–1 時間,多摩市落合2‑25
恐竜橋,約15–30 分,多摩市落合4丁目 人道橋
一本杉公園,0.5–1.5 時間,多摩市南野2‑14
旧加藤家住宅,0.5–1 時間,多摩市南野2‑14
妙櫻寺,0.5–1 時間,多摩市南野1‑3‑1
貝取第六公園,0.25–0.5 時間,多摩市貝取5‑4
よそう森公園,0.5–1 時間,日野市新町3‑10‑45
水車堀公園の水車,0.5 時間,日野市新町3‑43‑2
東光寺大橋の碑,約15 分,日野市栄町5‑13‑19
立日橋,0.25–0.5 時間,立川市錦町6丁目
日野橋,0.25–0.5 時間,立川市錦町1丁目
玉堂美術館,1–1.5 時間,青梅市御岳1‑75
小金井公園,1–3 時間,小金井市桜町3‑7‑1
タチヒビーチ,2–3 時間,立川市泉町935
昭和記念公園,3–4 時間,立川市緑町3173
鬼太郎茶屋,0.5–1 時間,調布市深大寺元町5‑12‑8
竹林公園,0.5–1 時間,東久留米市南沢1‑7
高幡不動尊,1–1.5 時間,日野市高幡733
まちだリス園,1–1.5 時間,町田市薬師台1‑733‑1
三鷹天命反転住宅,約1 時間,三鷹市大沢2‑2‑8
山本有三記念館,0.5–1 時間,三鷹市下連雀2‑12‑27
井の頭自然文化園,1.5–2 時間,武蔵野市御殿山1‑17‑6
ハモニカ横丁,0.5–1 時間,武蔵野市吉祥寺本町1丁目一帯
